"spkid","full_name","neo","pha","H","diameter","albedo","spec_B","spec_T","orbit_id","epoch","e","a","q","i","om","w","ma","n","per","moid","class","data_arc","first_obs","last_obs","n_obs_used","condition_code","ad","per_y","n_del_obs_used","n_dop_obs_used","epoch_mjd","extent","rot_per","GM","BV","UB","IR","tp_cal","two_body","A1","A2","A3","DT","tp","M1","K1","M2","K2","PC"
20001566,"  1566 Icarus (1949 MA)",Y,Y,16.53,1.0,0.51,,,194,2461000.5,0.8270,1.078,0.186,22.80,87.95,31.44,153.08,0.8805,409,0.0335,APO,27807,1949-07-01,2025-08-18,1792,0,1.97,1.12,10,13,61000,,2.2726,,0.774,0.520,,2025-05-31.1,,,-3.7e-15,,,2460826.65,,,,,
20001620,"  1620 Geographos (1951 RA)",Y,Y,15.27,2.56,0.290,S,S,"JPL 769",2461000.5,0.3355,1.246,0.828,13.34,337.14,277.02,212.92,0.7088,508,0.0294,APO,27046,1951-09-14,2025-10-01,8187,0,1.66,1.39,3,4,61000,5.0x2.0x2.1,5.22204,,0.862,0.471,,2026-06-16.4,,,-3.7e-15,,,2461208.00,,,,,
20001862,"  1862 Apollo (1932 HA)",Y,Y,16.08,1.5,0.25,Q,Q,539,2461000.5,0.5599,1.471,0.647,6.35,35.54,286.05,113.88,0.5525,652,0.026,APO,34421,1930-12-13,2025-03-10,3473,0,2.29,1.78,8,9,61000,,3.065,,0.819,0.481,,2025-04-28.8,,,-3.7e-15,,,2460794.37,,,,,
20001981,"  1981 Midas (1973 EA)",Y,Y,15.25,3.4,,V,,"JPL 367",2461000.5,0.6505,1.776,0.621,39.82,356.79,267.84,65.35,0.4163,865,0.00277,APO,19204,1973-03-06,2025-10-03,2297,0,2.93,2.37,6,1,61000,,5.22,,,,,2025-06-17.0,,,,,,2460843.54,,,,,
20002101,"  2101 Adonis (1936 CA)",Y,Y,18.69,0.6,,,,52,2461000.5,0.7641,1.874,0.442,1.32,349.41,43.71,24.48,0.3842,937,0.0115,APO,32656,1936-02-21,2025-07-19,149,0,3.31,2.57,0,5,61000,,,,,,,2025-09-18.2,,,-3.3e-14,,,2460936.78,,,,,
20002102,"  2102 Tantalus (1975 YA)",Y,Y,16.00,1.649,0.245,Q,,"JPL 261",2461000.5,0.2994,1.29,0.904,64.01,94.35,61.50,347.36,0.6726,535,0.0426,APO,18167,1976-01-02,2025-09-28,2154,0,1.68,1.47,1,0,61000,,2.384,,,,,2025-12-09.7,,,,,,2461019.30,,,,,
20002135,"  2135 Aristaeus (1977 HA)",Y,Y,18.05,,,,,24,2461000.5,0.5031,1.6,0.795,23.07,191.11,290.98,37.18,0.4872,739,0.00853,APO,15749,1977-04-17,2020-05-30,61,1,2.40,2.02,,,61000,,,,,,,2025-09-05.6,,,,,,2460924.18,,,,,
20002201,"  2201 Oljato (1947 XC)",Y,Y,15.32,1.80,0.4328,Sq,,"JPL 352",2461000.5,0.7107,2.179,0.630,2.52,74.86,98.37,97.01,0.3065,1.17e+03,0.00278,APO,34265,1931-12-03,2025-09-25,1847,0,3.73,3.22,0,5,61000,,26,,,,,2025-01-08.4,,,,,,2460683.98,,,,,
20002340,"  2340 Hathor (1976 UA)",Y,Y,20.43,0.3,,Sq,CSU,62,2461000.5,0.4499,0.8439,0.464,5.86,211.28,40.12,201.98,1.271,283,0.00663,ATE,16477,1976-10-25,2021-12-05,572,0,1.22,0.775,4,3,61000,,3.35,,0.770,0.500,,2026-03-25.2,,,-3.0e-14,,,2461124.78,,,,,
20003122,"  3122 Florence (1981 ET3)",Y,Y,14.08,4.9,0.231,S,,"JPL 984",2461000.5,0.4232,1.769,1.020,22.14,336.04,27.88,168.26,0.4189,859,0.0436,AMO,16876,1979-03-09,2025-05-22,9973,0,2.52,2.35,6,0,61000,,2.3581,,,,,2024-10-15.3,,,,,,2460598.88,,,,,
20003200,"  3200 Phaethon (1983 TB)",Y,Y,14.39,6.25,0.1066,B,F,"JPL 932",2461000.5,0.8897,1.271,0.140,22.31,265.10,322.31,163.98,0.6875,524,0.0187,APO,15317,1983-10-27,2025-10-03,8100,0,2.40,1.43,8,0,61000,,3.604,,,,,2025-03-27.4,,,-6.1e-15,,,2460762.00,,,,,
20003361,"  3361 Orpheus (1982 HR)",Y,Y,19.56,0.3,0.357,,,"JPL 198",2461000.5,0.3232,1.21,0.819,2.65,188.44,302.65,320.55,0.7404,486,0.0146,APO,15868,1982-04-24,2025-10-03,2796,0,1.60,1.33,2,0,61000,,3.5327,,1.022,0.503,,2026-01-13.2,,,1.9e-14,,,2461053.79,,,,,
20003362,"  3362 Khufu (1984 QA)",Y,Y,18.52,0.7,0.21,,,24,2461000.5,0.4685,0.9895,0.526,9.92,152.40,55.09,40.38,1.001,360,0.013,ATE,7394,1984-08-30,2004-11-27,262,1,1.45,0.984,,,61000,,,,,,,2025-10-11.6,,,,,,2460960.17,,,,,
20003671,"  3671 Dionysus (1984 KD)",Y,Y,16.49,1.5,0.16,Cb,,212,2461000.5,0.5438,2.197,1.002,13.53,82.02,204.43,252.10,0.3026,1.19e+03,0.015,APO,14798,1984-05-27,2024-12-01,1125,0,3.39,3.26,,,61000,,2.7053,,,,,2026-11-12.5,,,,,,2461357.07,,,,,
20003757,"  3757 Anagolay (1982 XB)",Y,Y,19.01,0.5,0.18,,S,58,2461000.5,0.4459,1.835,1.017,3.87,74.93,17.24,92.37,0.3967,908,0.0366,APO,15208,1982-12-14,2024-08-03,211,0,2.65,2.48,0,2,61000,,9.012,,0.859,0.522,,2025-04-02.1,,,,,,2460767.64,,,,,
20004015,"  4015 Wilson-Harrington (1979 VA)",Y,Y,16.19,4,0.05,,CF,333,2461000.5,0.6309,2.626,0.969,2.80,266.72,95.52,274.40,0.2316,1.55e+03,0.043,APO,27524,1949-11-19,2025-03-29,1521,0,4.28,4.26,,,61000,,3.5736,,0.666,0.279,,2026-11-25.6,,,,,,2461370.13,,,,,
20004034,"  4034 Vishnu (1986 PA)",Y,Y,18.49,0.42,0.52,O,,192,2461000.5,0.4440,1.059,0.589,11.17,157.86,296.70,261.95,0.9039,398,0.0191,APO,14206,1986-08-02,2025-06-24,1296,0,1.53,1.09,0,1,61000,,44.4,,,,,2026-03-09.4,,,-3.7e-14,,,2461108.97,,,,,
20004179,"  4179 Toutatis (1989 AC)",Y,Y,15.29,5.4,0.405,Sk,,716,2461000.5,0.6247,2.543,0.954,0.45,125.37,277.86,76.89,0.243,1.48e+03,0.00651,APO,33325,1934-02-10,2025-05-08,7111,0,4.13,4.06,35,27,61000,1.70x2.03x4.26,176.,,,,,2025-01-08.6,,-3.2e-13,-7.6e-15,,,2460684.12,,,,,
20004183,"  4183 Cuno (1959 LM)",Y,Y,14.16,3.651,0.097,Sq,,"JPL 690",2461000.5,0.6362,1.981,0.721,6.67,294.35,237.02,317.37,0.3535,1.02e+03,0.0284,APO,24227,1959-06-05,2025-10-03,4001,0,3.24,2.79,1,0,61000,,3.5595,,,,,2026-03-21.5,,,,,,2461121.08,,,,,
20004450,"  4450 Pan (1987 SY)",Y,Y,17.28,,,,,"JPL 266",2461000.5,0.5866,1.442,0.596,5.52,311.67,292.00,59.71,0.5691,633,0.0287,APO,32370,1937-02-06,2025-09-22,1544,0,2.29,1.73,1,0,61000,,56.48,,,,,2025-08-08.0,,,,,,2460895.57,,,,,
20004486,"  4486 Mithra (1987 SB)",Y,Y,15.61,1.849,0.297,,,374,2461000.5,0.6600,2.206,0.750,3.03,82.18,169.26,276.29,0.3007,1.2e+03,0.0459,APO,13851,1987-01-29,2024-12-31,1923,0,3.66,3.28,8,9,61000,"2.35 x 1.65 x 1.44",67.5,,,,,2026-08-26.3,,,,,,2461278.84,,,,,
20004581,"  4581 Asclepius (1989 FC)",Y,Y,20.74,,,,,112,2461000.5,0.3569,1.023,0.658,4.92,180.20,255.39,233.38,0.9532,378,0.00385,APO,11706,1989-03-31,2021-04-18,424,0,1.39,1.03,2,2,61000,,8.008,,,,,2026-04-02.8,,,-3.6e-14,,,2461133.34,,,,,
20004660,"  4660 Nereus (1982 DB)",Y,Y,18.75,0.33,0.55,Xe,,277,2461000.5,0.3588,1.485,0.952,1.45,313.11,159.54,49.82,0.5446,661,0.00416,APO,15434,1981-09-30,2024-01-02,4994,0,2.02,1.81,20,17,61000,,15.1749,,,,,2025-08-21.5,,,1.4e-14,,,2460909.03,,,,,
20004769,"  4769 Castalia (1989 PB)",Y,Y,17.40,1.4,0.092,,,165,2461000.5,0.4832,1.063,0.549,8.89,325.50,121.45,323.77,0.8992,400,0.0203,APO,13146,1989-08-01,2025-07-29,654,0,1.58,1.1,8,6,61000,,4.095,,,,,2025-12-31.2,,,-8.6e-15,,,2461040.79,,,,,
20004953,"  4953 (1990 MU)",Y,Y,14.88,,,,,"JPL 480",2461000.5,0.6575,1.621,0.555,24.38,77.53,77.93,115.98,0.4774,754,0.0245,APO,18686,1974-07-21,2025-09-17,3345,0,2.69,2.06,0,2,61000,,14.218,,,,,2025-03-23.0,,,,,,2460757.55,,,,,
20005011,"  5011 Ptah (6743 P-L)",Y,Y,16.66,,,,,"JPL 173",2461000.5,0.5002,1.636,0.818,7.41,10.62,105.96,2.07,0.471,764,0.0241,APO,23750,1960-09-24,2025-10-03,725,0,2.45,2.09,,,61000,,56.3,,,,,2025-11-16.6,,,,,,2460996.11,,,,,
20005189,"  5189 (1990 UQ)",Y,Y,17.84,,,,,311,2461000.5,0.4782,1.552,0.810,3.58,135.05,159.96,101.62,0.5099,706,0.0448,APO,12135,1990-10-20,2024-01-10,1605,0,2.29,1.93,4,1,61000,,6.653,,,,,2025-05-05.7,,,,,,2460801.20,,,,,
20005604,"  5604 (1992 FE)",Y,Y,17.38,0.55,0.48,V,,235,2461000.5,0.4065,0.93,0.552,4.70,311.94,82.77,349.65,1.099,328,0.0336,ATE,14660,1985-04-17,2025-06-06,1214,0,1.31,0.897,6,0,61000,,5.3375,,,,,2025-11-30.4,,,-7.6e-15,,,2461009.92,,,,,
20005693,"  5693 (1993 EA)",Y,Y,16.78,,,,,445,2461000.5,0.5851,1.271,0.527,5.06,96.98,258.98,118.41,0.6882,523,0.00586,APO,15064,1984-01-10,2025-04-08,2867,0,2.01,1.43,,,61000,,2.496,,,,,2025-06-01.9,,,,,,2460828.43,,,,,
20006037,"  6037 (1988 EG)",Y,Y,18.86,,,,,166,2461000.5,0.4996,1.272,0.636,3.51,182.15,242.36,164.67,0.6874,524,0.0239,APO,13260,1988-03-12,2024-07-01,1100,0,1.91,1.43,5,4,61000,,2.7602,,,,,2025-03-26.4,,,,,,2460760.93,,,,,
20006239,"  6239 Minos (1989 QF)",Y,Y,18.59,,,,,"JPL 306",2461000.5,0.4125,1.151,0.676,3.94,344.48,239.78,183.78,0.7982,451,0.0261,APO,15607,1983-01-09,2025-10-02,1990,0,1.63,1.23,3,0,61000,,3.5558,,,,,2026-06-29.7,,,1.2e-14,,,2461221.28,,,,,
20006489,"  6489 Golevka (1991 JX)",Y,Y,19.22,0.53,0.151,Q,,107,2461000.5,0.6188,2.477,0.944,2.26,208.71,69.53,252.42,0.2529,1.42e+03,0.0225,APO,8968,1991-04-15,2015-11-03,1017,0,4.01,3.9,20,20,61000,,6.026,,,,,2027-01-20.4,,,-1.2e-14,,,2461425.96,,,,,
20006491,"  6491 (1991 OA)",Y,Y,18.72,,,,,34,2461000.5,0.5921,2.504,1.021,6.15,299.98,326.21,240.15,0.2487,1.45e+03,0.0373,AMO,11898,1991-03-18,2023-10-14,202,0,3.99,3.96,,,61000,,2.69,,,,,2027-03-17.8,,,,,,2461482.34,,,,,
20007335,"  7335 (1989 JA)",Y,Y,17.70,1.8,0.448,,,225,2461000.5,0.4845,1.773,0.914,15.16,61.26,232.34,156.19,0.4176,862,0.0215,APO,12808,1989-04-06,2024-04-30,2553,0,2.63,2.36,4,4,61000,,2.58988,,,,,2024-11-11.9,,,-2.1e-14,,,2460626.50,,,,,
20007341,"  7341 (1991 VK)",Y,Y,16.96,0.982,0.235,Sq,,446,2461000.5,0.5061,1.842,0.910,5.41,294.72,173.51,195.60,0.3944,913,0.0481,APO,11636,1991-09-12,2023-07-22,2375,0,2.77,2.5,10,3,61000,,4.2096,,,,,2027-01-11.8,,,-5.1e-15,,,2461417.37,,,,,
20007482,"  7482 (1994 PC1)",Y,Y,16.58,1.052,0.277,S,,343,2461000.5,0.3294,1.349,0.904,33.47,117.85,47.49,138.26,0.6292,572,0.000726,APO,18595,1974-09-22,2025-08-20,2080,0,1.79,1.57,1,2,61000,,2.5999,,,,,2025-04-15.2,,,,,,2460780.77,,,,,
20007753,"  7753 (1988 XB)",Y,Y,18.01,,,B,,242,2461000.5,0.4816,1.467,0.761,3.12,73.39,280.06,317.69,0.5545,649,0.00658,APO,13289,1988-12-05,2025-04-24,1335,0,2.17,1.78,8,9,61000,,42.2,,,,,2026-02-05.3,,,-1.1e-14,,,2461076.82,,,,,
20007822,"  7822 (1991 CS)",Y,Y,17.34,1.602,0.075,S,,316,2461000.5,0.1646,1.123,0.938,37.12,156.84,249.46,153.76,0.8285,434,0.0216,APO,11845,1991-01-19,2023-06-25,3809,0,1.31,1.19,0,4,61000,,2.3896,,,,,2025-05-19.4,,,-8.5e-15,,,2460814.92,,,,,
20008014,"  8014 (1990 MF)",Y,Y,18.88,0.7,,,,180,2461000.5,0.4560,1.748,0.951,1.87,209.82,114.77,102.14,0.4266,844,0.0168,APO,12294,1990-06-14,2024-02-10,1282,0,2.54,2.31,9,12,61000,,50.09,,,,,2025-03-26.5,,,-2.2e-14,,,2460761.09,,,,,
20008566,"  8566 (1996 EN)",Y,Y,16.47,1.568,0.217,U,,294,2461000.5,0.4304,1.506,0.858,37.98,164.09,125.16,303.34,0.5331,675,0.0226,APO,15282,1983-04-06,2025-02-06,3649,0,2.15,1.85,,,61000,,4.845,,,,,2026-03-07.2,,,,,,2461106.77,,,,,
20009856,"  9856 (1991 EE)",Y,Y,17.11,1.0,0.3,,,"JPL 199",2461000.5,0.6258,2.243,0.839,9.83,168.10,116.20,72.00,0.2934,1.23e+03,0.0222,APO,12621,1991-03-13,2025-10-01,1330,0,3.65,3.36,3,1,61000,,3.045,,,,,2025-03-20.6,,,,,,2460755.12,,,,,
20010115," 10115 (1992 SK)",Y,Y,17.10,0.938,0.318,S:,,373,2461000.5,0.3249,1.249,0.843,15.32,8.87,233.74,7.08,0.7064,510,0.0464,APO,26031,1953-10-12,2025-01-18,2326,0,1.65,1.4,10,7,61000,,7.319,,,,,2025-11-10.9,,,-8.5e-15,,,2460990.48,,,,,
20011500," 11500 Tomaiyowit (1989 UR)",Y,Y,18.36,0.738,0.142,S,,"JPL 216",2461000.5,0.3558,1.08,0.696,10.31,234.38,289.52,314.93,0.8783,410,0.0344,APO,13127,1989-10-25,2025-10-03,1254,0,1.46,1.12,0,1,61000,,73,,,,,2026-01-11.3,,,,,,2461051.81,,,,,
20012538," 12538 (1998 OH)",Y,Y,15.96,1.663,0.232,S:,,"JPL 650",2461000.5,0.4059,1.542,0.916,24.54,220.69,321.79,163.01,0.5149,699,0.0302,APO,13919,1987-08-22,2025-09-30,11563,0,2.17,1.91,0,1,61000,,2.575,,,,,2025-01-08.4,,,,,,2460683.95,,,,,
20012923," 12923 Zephyr (1999 GK4)",Y,Y,15.80,2.060,0.199,S:,,490,2461000.5,0.4927,1.962,0.995,5.31,168.08,147.21,194.88,0.3586,1e+03,0.02,APO,25506,1955-04-21,2025-02-18,2889,0,2.93,2.75,,,61000,,3.893,,,,,2027-02-24.4,,,,,,2461461.00,,,,,
20013651," 13651 (1997 BR)",Y,Y,17.89,0.562,0.511,S,,"JPL 174",2461000.5,0.3057,1.336,0.927,17.25,116.63,133.85,158.08,0.6386,564,0.0156,APO,16670,1980-02-09,2025-09-30,1098,0,1.74,1.54,0,2,61000,,33.644,,,,,2025-03-18.4,,,-7.2e-15,,,2460752.96,,,,,
20014827," 14827 Hypnos (1986 JK)",Y,Y,18.81,0.9,,,,105,2461000.5,0.6643,2.851,0.957,1.97,57.73,238.64,103.40,0.2048,1.76e+03,0.0158,APO,14112,1986-05-04,2024-12-22,375,0,4.74,4.81,0,10,61000,,,,0.684,0.492,,2024-07-04.0,,,,,,2460495.56,,,,,
20016960," 16960 (1998 QS52)",Y,Y,14.32,,,Sq,,"JPL 519",2461000.5,0.8591,2.2,0.310,17.52,260.15,243.25,69.45,0.302,1.19e+03,0.0184,APO,15443,1983-06-14,2025-09-24,3485,0,4.09,3.26,,,61000,,2.8985,,,,,2025-04-04.9,,,,,,2460770.48,,,,,
20020236," 20236 (1998 BZ7)",Y,Y,17.70,,,,,50,2461000.5,0.5610,2.033,0.893,6.51,111.23,104.56,178.73,0.3399,1.06e+03,0.0495,APO,9724,1998-01-24,2024-09-08,352,0,3.17,2.9,,,61000,,10.182,,,,,2024-06-13.2,,,,,,2460474.74,,,,,
20020425," 20425 (1998 VD35)",Y,Y,20.51,,,Sq,,31,2461000.5,0.4766,1.565,0.819,6.99,227.24,296.32,234.13,0.5036,715,0.00419,APO,2448,1998-11-15,2005-07-29,51,1,2.31,1.96,,,61000,,,,,,,2026-07-28.9,,,,,,2461250.45,,,,,
20022753," 22753 (1998 WT)",Y,Y,17.68,,,,,"JPL 293",2461000.5,0.5700,1.219,0.524,3.21,307.35,324.82,98.30,0.7325,491,0.0336,APO,25547,1955-10-24,2025-10-03,1275,0,1.91,1.35,6,2,61000,,10.24,,,,,2025-07-09.8,,,-1.3e-14,,,2460866.31,,,,,
20023187," 23187 (2000 PN9)",Y,Y,16.06,,,,,"JPL 431",2461000.5,0.5894,1.847,0.758,51.34,164.28,293.54,324.54,0.3927,917,0.015,APO,12843,1990-08-02,2025-09-30,2264,0,2.94,2.51,6,2,61000,,2.5325,,,,,2026-02-19.3,,,,,,2461090.81,,,,,
20025143," 25143 Itokawa (1998 SF36)",Y,Y,19.26,0.33,,S(IV),,237,2461000.5,0.2802,1.324,0.953,1.62,69.08,162.85,41.26,0.6469,557,0.0133,APO,9588,1998-09-19,2024-12-19,1025,0,1.70,1.52,21,18,61000,0.535x0.294x0.209,12.132,2.1e-9,,,,2025-09-18.2,,,-2.9e-14,,,2460936.71,,,,,
20026663," 26663 (2000 XK47)",Y,Y,18.17,,,,,"JPL 138",2461000.5,0.4718,1.546,0.817,13.53,303.58,231.21,313.91,0.5127,702,0.0351,APO,18708,1974-07-12,2025-09-30,640,0,2.28,1.92,2,2,61000,,2.572,,,,,2026-02-18.8,,,,,,2461090.39,,,,,
20027002," 27002 (1998 DV9)",Y,Y,18.31,,,,,109,2461000.5,0.4335,1.744,0.988,8.70,130.33,0.82,14.84,0.428,841,0.00233,APO,9663,1998-02-23,2024-08-08,519,0,2.50,2.3,,,61000,,,,,,,2025-10-17.3,,,,,,2460965.82,,,,,
20029075," 29075 (1950 DA)",Y,Y,17.28,1.3,0.070,,,280,2461000.5,0.5075,1.699,0.837,12.15,356.54,224.83,41.32,0.4452,809,0.0398,APO,27458,1950-02-23,2025-04-28,1173,0,2.56,2.21,8,4,61000,,2.1216,,,,,2025-08-20.1,,,-5.2e-15,,,2460907.68,,,,,
20031669," 31669 (1999 JT6)",Y,Y,16.09,,,,,219,2461000.5,0.5778,2.137,0.902,9.54,78.76,39.11,223.53,0.3155,1.14e+03,0.000997,APO,10658,1996-06-12,2025-08-17,1248,0,3.37,3.12,,,61000,,5.807,,,,,2027-01-27.5,,,,,,2461433.09,,,,,
20033342," 33342 (1998 WT24)",Y,Y,18.02,0.432,0.654,,,215,2461000.5,0.4177,0.7187,0.419,7.37,81.66,167.52,314.57,1.618,223,0.0105,ATE,9571,1998-11-24,2025-02-06,1982,0,1.02,0.609,16,1,61000,,3.697,,,,,2025-12-19.0,,,-2.2e-14,,,2461028.59,,,,,
20035107," 35107 (1991 VH)",Y,Y,16.87,0.929,0.408,Sk,,"JPL 656",2461000.5,0.1437,1.137,0.973,13.92,139.31,207.03,65.64,0.8134,443,0.0271,APO,12382,1991-11-09,2025-10-03,5382,0,1.30,1.21,5,0,61000,,2.6236,,,,,2025-09-01.3,,,2.5e-15,,,2460919.81,,,,,
20035396," 35396 (1997 XF11)",Y,Y,17.01,0.704,0.772,Xk,,394,2461000.5,0.4838,1.442,0.745,4.10,213.63,103.07,139.72,0.569,633,0.000331,APO,12356,1990-03-22,2024-01-19,2562,0,2.14,1.73,5,1,61000,,3.259,,,,,2025-03-20.4,,,,,,2460754.93,,,,,
20037638," 37638 (1993 VB)",Y,Y,19.28,,,,,104,2461000.5,0.5200,1.913,0.918,5.08,145.56,323.22,25.57,0.3726,966,0.00121,APO,10788,1993-11-06,2023-05-21,956,0,2.91,2.65,5,1,61000,,3.5301,,,,,2025-09-13.3,,,,,,2460931.87,,,,,
20037655," 37655 Illapa (1994 PM)",Y,Y,17.85,,,,,127,2461000.5,0.7524,1.478,0.366,18.03,139.51,303.92,114.45,0.5487,656,0.0247,APO,10923,1994-08-01,2024-06-27,658,0,2.59,1.8,1,1,61000,,2.6556,,,,,2025-04-26.4,,,-1.2e-14,,,2460791.90,,,,,
20038071," 38071 (1999 GU3)",Y,Y,19.57,,,,,57,2461000.5,0.5070,2.09,1.031,12.73,195.47,8.79,292.66,0.3261,1.1e+03,0.0316,AMO,8690,1999-04-11,2023-01-25,425,0,3.15,3.02,6,5,61000,,216,,,,,2026-06-15.5,,,,,,2461207.01,,,,,
20039572," 39572 (1993 DQ1)",Y,Y,16.56,1.554,0.184,,,185,2461000.5,0.4928,2.036,1.033,10.03,313.50,344.84,341.52,0.3392,1.06e+03,0.0263,AMO,11718,1993-02-26,2025-03-28,892,0,3.04,2.91,,,61000,,,,,,,2026-01-14.4,,,,,,2461054.98,,,,,
20041429," 41429 (2000 GE2)",Y,Y,20.66,0.204,0.267,,,99,2461000.5,0.5556,1.593,0.708,2.17,351.79,297.37,238.87,0.4903,734,0.0111,APO,9749,1998-03-25,2024-12-02,440,0,2.48,2.01,,,61000,,,,,,,2026-07-26.0,,,,,,2461247.54,,,,,
20052760," 52760 (1998 ML14)",Y,Y,17.52,1.0,,,,159,2461000.5,0.6236,2.409,0.907,2.43,338.65,20.36,92.55,0.2637,1.37e+03,0.017,APO,9768,1998-06-24,2025-03-22,708,0,3.91,3.74,11,7,61000,,14.28,,,,,2024-12-05.0,,,,,,2460649.51,,,,,
20052768," 52768 (1998 OR2)",Y,Y,16.02,1.75,,,,375,2461000.5,0.5757,2.379,1.010,5.88,26.93,174.57,188.66,0.2685,1.34e+03,0.00584,APO,13944,1987-06-30,2025-09-02,6095,0,3.75,3.67,8,0,61000,,4.112,,,,,2027-08-21.0,,,,,,2461638.53,,,,,
20053319," 53319 (1999 JM8)",Y,Y,15.35,7.,,X:,,272,2461000.5,0.6415,2.724,0.976,13.84,133.63,166.79,316.53,0.2192,1.64e+03,0.0262,APO,9486,1999-04-10,2025-03-30,1379,0,4.47,4.5,8,10,61000,,143.7,,,,,2026-06-07.3,,,,,,2461198.80,,,,,
20053426," 53426 (1999 SL5)",Y,Y,17.19,,,,,242,2461000.5,0.5397,1.922,0.885,22.77,239.04,43.42,315.76,0.3698,973,0.0283,APO,8871,1999-09-28,2024-01-11,1284,0,2.96,2.67,,,61000,,5.03,,,,,2026-03-20.6,,,,,,2461120.13,,,,,
20053550," 53550 (2000 BF19)",Y,Y,19.06,,,,,129,2461000.5,0.4197,1.495,0.868,7.18,313.11,325.05,282.74,0.5391,668,0.0468,APO,12130,1991-10-04,2024-12-19,438,0,2.12,1.83,,,61000,,,,,,,2026-04-13.3,,,,,,2461143.81,,,,,
20053789," 53789 (2000 ED104)",Y,Y,17.35,0.843,0.222,,,239,2461000.5,0.2692,1.371,1.002,40.78,190.02,218.36,122.59,0.6143,586,0.0478,APO,25266,1955-04-16,2024-06-18,1197,0,1.74,1.6,,,61000,,43,,,,,2025-05-05.4,,,-1.8e-14,,,2460800.93,,,,,
20065679," 65679 (1989 UQ)",Y,Y,19.61,0.918,0.033,B,,188,2461000.5,0.2645,0.9148,0.673,1.30,178.05,15.00,286.53,1.126,320,0.014,ATE,25574,1954-11-20,2024-11-26,1154,0,1.16,0.875,,,61000,,7.746,,,,,2026-01-25.2,,,-3.9e-14,,,2461065.73,,,,,
20065690," 65690 (1991 DG)",Y,Y,19.06,,,,,179,2461000.5,0.3633,1.428,0.909,11.14,180.08,63.41,83.37,0.5777,623,0.0383,APO,12418,1991-02-20,2025-02-19,1175,0,1.95,1.71,,,61000,,7.1125,,,,,2025-06-29.6,,,,,,2460856.19,,,,,
20065717," 65717 (1993 BX3)",Y,Y,20.87,,,,,"JPL 168",2461000.5,0.2810,1.395,1.003,2.81,174.75,290.98,343.77,0.598,602,0.0473,APO,12040,1992-10-03,2025-09-20,5568,0,1.79,1.65,2,1,61000,,20.33,,,,,2025-12-18.1,,,8.2e-14,,,2461027.63,,,,,
20065803," 65803 Didymos (1996 GT)",Y,Y,18.11,0.78,,S,,219,2461000.5,0.3832,1.643,1.013,3.41,72.98,319.59,167.22,0.4682,769,0.0397,APO,722,2022-10-01,2024-09-22,1647,0,2.27,2.11,2,0,61000,"0.797 x 0.783 x 0.761",2.2593,,,,,2024-11-28.8,,,,,,2460643.33,,,,,
20065909," 65909 (1998 FH12)",Y,Y,19.30,,,,,137,2461000.5,0.5397,1.091,0.502,3.56,108.59,284.51,182.86,0.8648,416,0.013,APO,9149,1998-03-25,2023-04-12,532,0,1.68,1.14,8,2,61000,,3,,,,,2026-06-13.8,,,,,,2461205.33,,,,,
20066391," 66391 Moshup (1999 KW4)",Y,Y,16.64,1.317,,S:,,367,2461000.5,0.6884,0.6424,0.200,38.88,244.90,192.65,342.60,1.914,188,0.0119,ATE,9911,1998-05-29,2025-07-17,3868,0,1.08,0.515,37,0,61000,"1.532 x 1.495 x 1.347",2.7645,,,,,2025-11-30.0,,,-6.1e-15,,,2461009.59,,,,,
20067367," 67367 (2000 LY27)",Y,Y,17.08,,,,,159,2461000.5,0.2126,1.309,1.030,9.02,264.51,184.84,152.34,0.6585,547,0.0466,AMO,17602,1976-05-27,2024-08-05,726,0,1.59,1.5,,,61000,,,,,,,2025-04-03.6,,,,,,2460769.15,,,,,
20067381," 67381 (2000 OL8)",Y,Y,19.80,,,,,56,2461000.5,0.5429,1.321,0.604,10.67,294.83,266.94,297.85,0.6495,554,0.0183,APO,8474,2000-07-30,2023-10-12,226,0,2.04,1.52,,,61000,,,,,,,2026-02-24.6,,,,,,2461096.20,,,,,
20068216," 68216 (2001 CV26)",Y,Y,16.57,0.994,0.449,,,555,2461000.5,0.3267,1.32,0.889,17.99,18.13,48.76,201.77,0.6499,554,0.0242,APO,8878,2001-02-01,2025-05-24,3052,0,1.75,1.52,5,0,61000,,2.429,,,,,2026-07-22.4,,,,,,2461243.95,,,,,
20068346," 68346 (2001 KZ66)",Y,Y,16.92,0.736,0.291,,,255,2461000.5,0.4165,1.507,0.880,16.70,219.37,140.28,346.82,0.5325,676,0.0385,APO,16613,1979-12-28,2025-06-22,1245,0,2.14,1.85,1,1,61000,,4.987,,,,,2025-12-15.7,,,,,,2461025.26,,,,,
20068347," 68347 (2001 KB67)",Y,Y,19.92,,,,,81,2461000.5,0.3799,0.9617,0.596,17.13,245.85,243.82,50.46,1.045,344,0.0157,ATE,7444,2001-05-30,2021-10-16,614,0,1.33,0.943,6,2,61000,,6.354,,,,,2025-10-03.7,,,,,,2460952.21,,,,,
20068372," 68372 (2001 PM9)",Y,Y,18.95,,,,,113,2461000.5,0.4156,1.618,0.946,8.11,252.96,322.34,349.45,0.4788,752,0.00522,APO,8559,2001-06-28,2024-12-03,388,0,2.29,2.06,,,61000,,,,,,,2025-12-13.0,,,,,,2461022.54,,,,,
