"spkid","full_name","neo","pha","H","diameter","albedo","spec_B","spec_T","orbit_id","epoch","e","a","q","i","om","w","ma","n","per","moid","class","data_arc","first_obs","last_obs","n_obs_used","condition_code","ad","per_y","n_del_obs_used","n_dop_obs_used","epoch_mjd","extent","rot_per","GM","BV","UB","IR","tp_cal","two_body","A1","A2","A3","DT","tp","M1","K1","M2","K2","PC"
3842750,"       (2018 PP29)",Y,Y,21.60,,,,,"JPL 3",2458356.5,0.7431,3.193,0.820,20.59,119.40,301.55,347.66,0.1728,2.08e+03,0.029,APO,27,2018-08-13,2018-09-09,17,8,5.56,5.7,,,58356,,,,,,,2018-11-05.4,,,,,,2458427.94,,,,,
3826894,"       (2018 QT)",Y,Y,20.92,,,,,32,2461000.5,0.6127,2.276,0.882,1.32,354.54,64.96,19.82,0.287,1.25e+03,0.00732,APO,2789,2011-07-26,2019-03-15,175,0,3.67,3.43,,,61000,,,,,,,2025-09-12.9,,,,,,2460931.45,,,,,
3827100,"       (2018 QN1)",Y,Y,21.48,,,,,31,2461000.5,0.5567,2.282,1.012,6.39,63.66,325.48,18.27,0.2859,1.26e+03,0.0497,APO,161,2018-07-11,2018-12-19,198,4,3.55,3.45,,,61000,,15.32,,,,,2025-09-18.1,,,,,,2460936.60,,,,,
3827151,"       (2018 RB)",Y,Y,21.86,,,,,27,2461000.5,0.7315,1.952,0.524,4.55,348.98,244.53,255.50,0.3614,996,0.0239,APO,888,2018-09-01,2021-02-05,262,1,3.38,2.73,,,61000,,,,,,,2026-09-06.1,,,,,,2461289.67,,,,,
3829455,"       (2018 RB7)",Y,Y,21.70,,,,,6,2461000.5,0.6687,2.415,0.800,5.30,115.50,314.37,318.08,0.2626,1.37e+03,0.0189,APO,45,2018-08-15,2018-09-29,30,6,4.03,3.75,,,61000,,,,,,,2026-04-29.6,,,,,,2461160.14,,,,,
3829463,"       (2018 RJ7)",Y,Y,21.43,,,,,32,2461000.5,0.6446,2.675,0.951,4.05,135.94,296.41,216.18,0.2253,1.6e+03,0.0426,APO,191,2018-08-07,2019-02-14,192,4,4.40,4.37,,,61000,,,,,,,2027-08-21.2,,,,,,2461638.77,,,,,
3831075,"       (2018 SX2)",Y,Y,20.82,,,,,22,2461000.5,0.2969,1.353,0.951,10.74,351.08,338.31,218.61,0.6265,575,0.0342,APO,1915,2016-01-16,2021-04-14,116,0,1.75,1.57,,,61000,,,,,,,2026-07-04.6,,,,,,2461226.18,,,,,
3831077,"       (2018 SK3)",Y,Y,18.87,,,,,35,2461000.5,0.7012,2.601,0.777,34.04,353.23,124.87,228.30,0.2349,1.53e+03,0.0418,APO,1754,2018-09-10,2023-06-30,184,0,4.43,4.2,,,61000,,,,,,,2027-06-04.6,,,,,,2461561.14,,,,,
3831203,"       (2018 TO1)",Y,Y,21.70,,,,,28,2461000.5,0.3963,1.534,0.926,3.65,91.20,218.64,299.21,0.5185,694,0.00878,APO,1518,2016-03-08,2020-05-04,165,0,2.14,1.9,,,61000,,,,,,,2026-03-18.2,,,,,,2461117.73,,,,,
3831471,"       (2018 TY2)",Y,Y,19.04,,,,,"JPL 37",2461000.5,0.8421,2.288,0.361,4.61,272.84,249.23,343.69,0.2847,1.26e+03,0.00495,APO,7387,2005-07-11,2025-10-01,159,0,4.22,3.46,,,61000,,,,,,,2026-01-17.2,,,,,,2461057.79,,,,,
3831479,"       (2018 TF3)",Y,Y,20.48,,,,,45,2461000.5,0.7174,2.134,0.603,6.87,51.55,76.64,78.82,0.3163,1.14e+03,0.0199,APO,3593,2015-08-21,2025-06-22,486,0,3.66,3.12,1,1,61000,,2.3498,,,,,2025-03-16.7,,,,,,2460751.27,,,,,
3831888,"       (2018 UA1)",Y,Y,19.90,,,,,22,2461000.5,0.6241,2.528,0.950,18.45,358.94,348.29,282.38,0.2451,1.47e+03,0.0439,APO,4425,2010-10-12,2022-11-23,229,0,4.11,4.02,,,61000,,,,,,,2026-10-03.6,,,,,,2461317.11,,,,,
3831916,"       (2018 UQ1)",Y,Y,21.95,,,,,43,2461000.5,0.4916,1.614,0.821,1.62,254.29,220.07,131.85,0.4805,749,0.01,APO,1642,2018-10-20,2023-04-19,314,0,2.41,2.05,2,2,61000,,3.9291,,,,,2025-02-19.6,,,,,,2460726.11,,,,,
3835509,"       (2018 UC2)",Y,Y,21.90,,,,,17,2461000.5,0.4102,1.576,0.929,31.32,209.65,134.68,225.92,0.4983,722,0.0201,APO,2393,2014-04-23,2020-11-10,247,0,2.22,1.98,,,61000,,,,,,,2026-08-17.0,,,,,,2461269.58,,,,,
